rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
241,frame_0204.jpg,81.6,0.2943,0.2415,0.125,0.68,8,1,False,False
242,frame_0217.jpg,86.8,0.2896,0.3442,0.125,0.4,10,1,False,False
243,frame_0110.jpg,44.0,0.2852,0.3724,0.25,0.12,8,2,False,False
244,frame_0085.jpg,34.0,0.2791,0.3342,0.0,0.56,8,0,False,False
245,frame_0323.jpg,129.2,0.2785,0.3589,0.25,0.12,12,2,False,False
246,frame_0181.jpg,72.4,0.275,0.459,0.125,0.04,11,1,False,False
247,frame_0224.jpg,89.6,0.2741,0.4251,0.125,0.12,9,1,False,False
248,frame_0112.jpg,44.8,0.2668,0.4535,0.0,0.2,9,0,False,False
249,frame_0198.jpg,79.2,0.2632,0.3505,0.0,0.44,3,0,False,False
250,frame_0313.jpg,125.2,0.2566,0.4222,0.125,0.04,8,1,False,False
251,frame_0092.jpg,36.8,0.2515,0.316,0.125,0.28,11,1,False,False
252,frame_0199.jpg,79.6,0.2502,0.2334,0.125,0.48,3,1,False,False
253,frame_0220.jpg,88.0,0.2451,0.3782,0.0,0.28,9,0,False,False
254,frame_0311.jpg,124.4,0.2419,0.3179,0.25,0.04,14,2,False,False
255,frame_0200.jpg,80.0,0.2361,0.1891,0.125,0.52,5,1,False,False
256,frame_0197.jpg,78.8,0.1892,0.2183,0.0,0.4,2,0,False,False
